article_id,project_id,user_id,user_type,save_at,share_at,love_at,sad_at,angry_at
45,2,78,resident,2017-10-16 05:07:05,2017-12-15 00:35:56,,2017-04-14 08:31:23,
45,10,78,guest,,2017-10-02 13:57:08,,2017-11-01 10:29:43,
45,2,68,guest,2017-10-03 18:56:37,,,,2017-09-17 08:04:27
45,2,68,guest,,,,,2017-06-17 14:41:08
45,3,68,guest,,2017-05-14 19:14:30,,,2018-03-26 12:26:20
45,3,68,guest,,2017-08-01 07:37:11,,,2017-06-04 01:36:05
45,2,85,owner,2017-06-09 03:02:21,,2017-10-01 09:05:08,,
45,3,85,resident,2017-05-17 11:10:45,,2017-09-19 16:58:10,,
45,6,85,owner,2018-02-21 05:25:26,,2017-11-02 10:44:04,,
45,2,87,resident,2017-09-26 17:29:48,2017-08-07 01:50:12,2017-06-04 15:33:00,,
45,2,87,resident,,2017-09-06 06:58:15,,,2018-01-01 09:10:59
45,6,87,resident,2017-12-31 12:50:37,,,2017-05-16 17:30:16,
45,6,87,resident,,,,,2017-08-10 11:45:36
45,9,87,resident,,2017-12-31 02:14:41,2017-08-13 06:17:40,,
45,9,87,resident,2018-03-02 18:41:23,2017-09-26 10:06:23,,,2018-01-01 05:41:41
45,2,23,guest,2018-01-14 21:42:35,,,,2018-04-05 15:59:32
45,3,23,owner,,,2017-06-30 12:40:17,,
45,2,31,guest,2017-09-04 00:07:15,2017-05-19 06:21:43,,,2017-12-12 02:25:28
45,10,31,guest,2017-08-13 19:22:42,2017-07-22 21:52:58,,,2017-11-01 19:37:26
45,2,84,owner,2017-10-20 11:29:37,,2017-10-28 02:03:45,,
45,2,84,owner,2017-05-09 04:23:02,2017-09-25 00:38:20,2017-06-09 06:45:26,,
45,3,84,resident,,,,,2018-01-08 04:28:58
45,3,84,resident,2017-05-08 11:43:07,2018-03-11 10:21:05,,,2018-02-19 11:23:48
45,6,84,resident,,2018-01-10 11:03:27,2017-08-17 05:16:26,,
45,6,84,resident,2018-01-11 17:10:16,2018-02-02 19:21:22,2017-06-12 16:35:28,,
