article_id,project_id,user_id,user_type,read_time,read_length
45,2,78,resident,753.0,30.0
45,2,78,resident,1076.0,5.0
45,10,78,guest,270.0,78.0
45,10,78,guest,267.0,94.0
45,2,56,guest,938.0,75.0
45,2,56,guest,330.0,82.0
45,2,98,resident,485.0,62.0
45,2,98,resident,230.0,70.0
45,10,98,owner,760.0,49.0
45,10,98,owner,213.0,86.0
45,6,98,resident,399.0,44.0
45,6,98,resident,600.0,96.0
45,2,53,guest,946.0,28.0
45,2,68,guest,1132.0,12.0
45,3,68,guest,1020.0,15.0
45,2,85,owner,51.0,98.0
45,2,85,owner,191.0,43.0
45,3,85,resident,1068.0,56.0
45,3,85,resident,1125.0,86.0
45,6,85,owner,688.0,90.0
45,6,85,owner,809.0,53.0
45,2,87,resident,947.0,91.0
45,2,87,resident,520.0,57.0
45,2,87,resident,1002.0,93.0
45,6,87,resident,695.0,43.0
45,6,87,resident,276.0,53.0
45,6,87,resident,914.0,90.0
45,9,87,resident,603.0,26.0
45,9,87,resident,318.0,46.0
45,9,87,resident,520.0,4.0
45,2,6,owner,274.0,36.0
45,2,23,guest,86.0,69.0
45,2,23,guest,720.0,4.0
45,3,23,owner,907.0,33.0
45,3,23,owner,1176.0,44.0
45,2,1,resident,784.0,54.0
45,9,1,tenant,376.0,14.0
45,2,31,guest,397.0,24.0
45,2,31,guest,462.0,21.0
45,10,31,guest,368.0,98.0
45,10,31,guest,252.0,35.0
45,2,2,guest,275.0,50.0
45,6,2,resident,702.0,63.0
45,2,84,owner,291.0,39.0
45,2,84,owner,782.0,93.0
45,2,84,owner,205.0,74.0
45,2,84,owner,858.0,91.0
45,3,84,resident,115.0,98.0
45,3,84,resident,875.0,6.0
45,3,84,resident,697.0,28.0
45,3,84,resident,552.0,84.0
45,6,84,resident,495.0,63.0
45,6,84,resident,148.0,47.0
45,6,84,resident,975.0,35.0
45,6,84,resident,638.0,27.0
45,2,11,resident,1002.0,4.0
45,10,11,resident,1087.0,16.0
45,6,11,tenant,793.0,88.0
45,9,11,guest,769.0,60.0
45,2,47,resident,970.0,41.0
45,2,32,resident,975.0,96.0
45,2,32,resident,502.0,5.0
45,3,32,owner,1153.0,88.0
45,3,32,owner,159.0,98.0
45,9,32,tenant,755.0,74.0
45,9,32,tenant,313.0,39.0
45,2,5,owner,7.0,2.0
45,10,5,guest,872.0,41.0
45,3,5,owner,523.0,75.0
45,2,90,resident,234.0,8.0
45,9,90,resident,1135.0,76.0
45,2,71,guest,867.0,87.0
45,10,71,guest,710.0,87.0
45,3,71,owner,559.0,80.0
51,2,93,owner,20.0,41.0
51,10,93,owner,1189.0,81.0
51,3,93,owner,740.0,63.0
51,5,93,tenant,57.0,49.0
51,2,56,guest,1138.0,75.0
51,7,56,resident,581.0,49.0
51,4,56,owner,545.0,72.0
51,2,98,resident,935.0,16.0
51,10,98,owner,309.0,21.0
51,6,98,resident,1121.0,36.0
51,2,54,tenant,526.0,15.0
51,1,54,owner,70.0,63.0
51,2,53,guest,1084.0,64.0
51,2,53,guest,340.0,9.0
51,2,68,guest,346.0,43.0
51,3,68,guest,715.0,100.0
51,5,68,tenant,941.0,72.0
51,4,68,tenant,202.0,66.0
51,1,68,resident,40.0,13.0
51,2,6,owner,972.0,14.0
51,2,6,owner,302.0,74.0
51,7,6,tenant,49.0,71.0
51,7,6,tenant,935.0,36.0
51,2,23,guest,651.0,5.0
51,2,23,guest,706.0,90.0
51,3,23,owner,948.0,43.0
