article_id,project_id,user_id,user_type,seen_at
45,2,93,owner,2017-10-29 08:17:51
45,10,93,owner,2017-10-29 08:17:51
45,3,93,owner,2017-10-29 08:17:51
45,2,78,resident,2018-02-16 04:58:48
45,10,78,guest,2018-02-16 04:58:48
45,2,56,guest,2017-06-03 06:07:01
45,2,98,resident,2017-07-26 13:35:33
45,10,98,owner,2017-07-26 13:35:33
45,6,98,resident,2017-07-26 13:35:33
45,2,54,tenant,2018-01-23 15:15:28
45,2,53,guest,2018-01-29 21:22:07
45,2,68,guest,2017-11-04 01:49:15
45,3,68,guest,2017-11-04 01:49:15
45,2,85,owner,2017-09-13 03:36:36
45,3,85,resident,2017-09-13 03:36:36
45,6,85,owner,2017-09-13 03:36:36
45,2,87,resident,2017-06-23 22:21:14
45,6,87,resident,2017-06-23 22:21:14
45,9,87,resident,2017-06-23 22:21:14
45,2,6,owner,2017-09-07 13:37:59
45,2,23,guest,2017-06-25 21:22:37
45,3,23,owner,2017-06-25 21:22:37
45,2,1,resident,2018-03-20 01:32:17
45,9,1,tenant,2018-03-20 01:32:17
45,2,31,guest,2017-08-26 14:29:30
45,10,31,guest,2017-08-26 14:29:30
45,2,42,resident,2017-12-06 10:25:36
45,2,2,guest,2017-09-18 21:17:19
45,6,2,resident,2017-09-18 21:17:19
45,2,84,owner,2018-03-27 01:29:43
45,3,84,resident,2018-03-27 01:29:43
45,6,84,resident,2018-03-27 01:29:43
45,2,11,resident,2017-08-31 19:08:17
45,10,11,resident,2017-08-31 19:08:17
45,6,11,tenant,2017-08-31 19:08:17
45,9,11,guest,2017-08-31 19:08:17
45,2,47,resident,2017-06-22 19:27:00
45,2,17,tenant,2017-06-06 18:30:40
45,9,17,resident,2017-06-06 18:30:40
45,2,32,resident,2017-12-10 11:28:52
45,3,32,owner,2017-12-10 11:28:52
45,9,32,tenant,2017-12-10 11:28:52
45,2,5,owner,2018-01-05 04:22:05
45,10,5,guest,2018-01-05 04:22:05
45,3,5,owner,2018-01-05 04:22:05
45,2,90,resident,2017-10-12 11:36:56
45,9,90,resident,2017-10-12 11:36:56
45,2,62,owner,2017-12-01 14:12:11
45,10,62,guest,2017-12-01 14:12:11
45,6,62,tenant,2017-12-01 14:12:11
45,2,13,tenant,2017-11-08 21:29:14
45,3,13,guest,2017-11-08 21:29:14
45,6,13,resident,2017-11-08 21:29:14
45,2,71,guest,2017-04-09 07:15:05
45,10,71,guest,2017-04-09 07:15:05
45,3,71,owner,2017-04-09 07:15:05
51,2,93,owner,2018-02-19 05:24:04
51,10,93,owner,2018-02-19 05:24:04
51,3,93,owner,2018-02-19 05:24:04
51,5,93,tenant,2018-02-19 05:24:04
51,2,56,guest,2017-08-26 18:55:52
51,7,56,resident,2017-08-26 18:55:52
51,4,56,owner,2017-08-26 18:55:52
51,2,98,resident,2017-06-27 23:30:47
51,10,98,owner,2017-06-27 23:30:47
51,6,98,resident,2017-06-27 23:30:47
51,2,54,tenant,2017-04-05 20:42:11
51,1,54,owner,2017-04-05 20:42:11
51,2,53,guest,2018-02-07 16:49:56
51,2,68,guest,2018-02-25 03:55:26
51,3,68,guest,2018-02-25 03:55:26
51,5,68,tenant,2018-02-25 03:55:26
51,4,68,tenant,2018-02-25 03:55:26
51,1,68,resident,2018-02-25 03:55:26
51,2,85,owner,2017-06-10 19:07:39
51,3,85,resident,2017-06-10 19:07:39
51,7,85,owner,2017-06-10 19:07:39
51,6,85,owner,2017-06-10 19:07:39
51,1,85,owner,2017-06-10 19:07:39
51,2,87,resident,2017-05-10 21:15:38
51,6,87,resident,2017-05-10 21:15:38
51,1,87,owner,2017-05-10 21:15:38
51,9,87,resident,2017-05-10 21:15:38
51,2,6,owner,2017-05-22 00:06:40
51,7,6,tenant,2017-05-22 00:06:40
51,2,23,guest,2017-11-14 14:20:07
51,3,23,owner,2017-11-14 14:20:07
51,7,23,resident,2017-11-14 14:20:07
51,1,23,tenant,2017-11-14 14:20:07
51,2,1,resident,2017-06-11 22:42:55
51,7,1,guest,2017-06-11 22:42:55
51,9,1,tenant,2017-06-11 22:42:55
51,2,31,guest,2017-07-20 08:57:09
51,10,31,guest,2017-07-20 08:57:09
51,5,31,owner,2017-07-20 08:57:09
51,2,42,resident,2017-06-23 02:33:33
51,7,42,resident,2017-06-23 02:33:33
51,4,42,resident,2017-06-23 02:33:33
51,2,2,guest,2017-05-17 01:16:34
51,6,2,resident,2017-05-17 01:16:34
51,5,2,owner,2017-05-17 01:16:34
51,4,2,guest,2017-05-17 01:16:34
51,2,84,owner,2018-01-16 06:18:48
51,3,84,resident,2018-01-16 06:18:48
51,6,84,resident,2018-01-16 06:18:48
51,4,84,owner,2018-01-16 06:18:48
51,2,11,resident,2017-12-11 22:21:21
51,10,11,resident,2017-12-11 22:21:21
51,6,11,tenant,2017-12-11 22:21:21
51,4,11,tenant,2017-12-11 22:21:21
51,9,11,guest,2017-12-11 22:21:21
51,2,17,tenant,2018-03-30 01:09:37
51,5,17,guest,2018-03-30 01:09:37
51,9,17,resident,2018-03-30 01:09:37
51,2,32,resident,2017-07-03 18:14:44
51,3,32,owner,2017-07-03 18:14:44
51,1,32,tenant,2017-07-03 18:14:44
51,9,32,tenant,2017-07-03 18:14:44
51,2,5,owner,2017-09-14 06:07:12
51,10,5,guest,2017-09-14 06:07:12
51,3,5,owner,2017-09-14 06:07:12
51,4,5,tenant,2017-09-14 06:07:12
51,2,90,resident,2017-11-11 03:46:41
51,5,90,guest,2017-11-11 03:46:41
51,9,90,resident,2017-11-11 03:46:41
51,2,62,owner,2017-11-30 10:06:01
51,10,62,guest,2017-11-30 10:06:01
51,6,62,tenant,2017-11-30 10:06:01
51,2,13,tenant,2017-12-20 05:46:17
51,3,13,guest,2017-12-20 05:46:17
51,6,13,resident,2017-12-20 05:46:17
41,2,93,owner,2017-04-15 17:27:46
41,8,93,guest,2017-04-15 17:27:46
41,3,93,owner,2017-04-15 17:27:46
41,5,93,tenant,2017-04-15 17:27:46
41,2,78,resident,2017-09-11 20:35:18
41,2,56,guest,2017-04-24 15:13:42
41,7,56,resident,2017-04-24 15:13:42
41,4,56,owner,2017-04-24 15:13:42
41,2,98,resident,2017-07-19 13:52:32
41,8,98,tenant,2017-07-19 13:52:32
41,6,98,resident,2017-07-19 13:52:32
41,2,54,tenant,2017-11-29 22:11:29
41,1,54,owner,2017-11-29 22:11:29
41,2,53,guest,2017-12-03 03:07:45
41,8,53,guest,2017-12-03 03:07:45
41,2,68,guest,2018-01-05 02:31:57
41,3,68,guest,2018-01-05 02:31:57
41,5,68,tenant,2018-01-05 02:31:57
41,4,68,tenant,2018-01-05 02:31:57
41,1,68,resident,2018-01-05 02:31:57
41,2,85,owner,2017-05-07 00:19:22
41,3,85,resident,2017-05-07 00:19:22
41,7,85,owner,2017-05-07 00:19:22
41,6,85,owner,2017-05-07 00:19:22
41,1,85,owner,2017-05-07 00:19:22
41,2,87,resident,2017-05-17 20:57:02
41,6,87,resident,2017-05-17 20:57:02
41,1,87,owner,2017-05-17 20:57:02
41,9,87,resident,2017-05-17 20:57:02
41,2,6,owner,2017-07-23 11:57:43
41,7,6,tenant,2017-07-23 11:57:43
41,2,23,guest,2017-08-20 18:31:50
41,3,23,owner,2017-08-20 18:31:50
41,7,23,resident,2017-08-20 18:31:50
41,1,23,tenant,2017-08-20 18:31:50
